id,"nick,comment",refer_nick,refer,time,star
400162539,---白纸,真的太喜欢这首了，全季最爱.,,,4月2日 19:27,0
400162539,QQ滴懒肉肉,转音无罪啊……,,,3月29日 03:20,0
400162539,恶童木,那季唯一一首能起鸡皮疙瘩的,,,3月23日 04:15,1
400162539,落回地球表面,啊啊啊真的假的嘞想听,VickkJax,哈哈哈哈哈哈 我有她彩排《想念你》带哨音的版本,3月22日 13:58,0
400162539,VickkJax,哈哈哈哈哈哈 我有她彩排《想念你》带哨音的版本,落回地球表面,coco说自己现场唱太嗨少唱了一个哨音 其实我还挺希望听到有哨音版本的想念你,3月21日 17:52,0
400162539,林末0101,Tia小姐就算拿最拿手的jazz，蓝调也被抠姨妈压得死死，更不要李玟还擅长其他曲风,yigeQianQian,吊打袁娅维,3月21日 17:41,0
400162539,请雅间用餐,不像爵士，更偏向r&b,rrriio,这么美的爵士乐为什么第六？！我听了完完全全都可以美得邀人起舞了！初恋的感觉,3月19日 23:12,0
400162539,Lack_Twist,都是混jazz改rnb，袁女士真的太保守了，李玟素养高太多了……这歌改的跟原曲快两首歌了，袁女士的月牙湾改动完成度太低了，真的没有诚意,麋鹿啊迷鹿,没有比较性，都不是一个声代的,3月19日 22:04,0
400162539,张书生,李玟参加节目表达自己《想念你》，结果歌手内投第1，观众第6。我本将心向明月，奈何明月照沟渠。这些观众啊。。。,,,3月19日 11:44,0
400162539,麋鹿啊迷鹿,没有比较性，都不是一个声代的,yigeQianQian,吊打袁娅维,3月18日 04:45,1
400162539,Lack_Twist,同感！也是听了月牙湾，这首歌就骚动起来了，耳痒难耐，非要来听一下！,yigeQianQian,吊打袁娅维,3月16日 22:00,0
400162539,yigeQianQian,吊打袁娅维,,,3月9日 15:52,2
400162539,鱼子酱的鱼仔,coco的声压太厉害了,,,3月6日 16:00,1
400162539,最后一场告别,nbcs萧亚轩,Jeff_FAN,CoCo和Elva的双粉 两人私交也甚好 说句公道话 两位天后走的路线其实不一样 李玟是极具欧美范的华语国际第一天后 极致炫音 萧亚轩是时尚摩登电音舞曲天后 魅惑中低音 要说相似的是！！！这两位天后是华语乐坛玩R&B最顶级的女歌手！！！并且走在华语乐坛最前端 傲视华语群雄！,3月2日 15:51,0
400162539,STAYINGF,对对对，这首歌就是越听越爱,单车不倦,这首歌，为何当时看电视就觉得唱的好，今天听觉得好舒服！越来越爱！,3月1日 17:20,1
400162539,新三好青年,爱,,,2月27日 10:24,0
400162539,STAYINGF,我也觉得！！！,我要放松下,这期应该是coco最灵动最享受最自由的一期了，虽然排名比不上后面的好多场，毕竟要考虑现场受众,2月24日 13:18,0
400162539,单车不倦,这首，后面出来，成绩不会差,Mazdaism,这期歌手走到现在回头欣赏，竟是这首最值得反复鉴赏。也许稳妥的做法是，月光爱人开场告诉大家她的江湖地位，快歌垫场积累人气，在倒数几场放出这首歌，一定会比第一场获得更多的认可。但是coco并没有这么做，第一场就拿出这首诚意之作，不走寻常路，不打安全牌，这就是一个天后DIVA对音乐应该的态度！,2月22日 16:25,0
400162539,单车不倦,这首歌，为何当时看电视就觉得唱的好，今天听觉得好舒服！越来越爱！,,,2月22日 16:23,2
400162539,Lack_Twist,开局王炸,,,2月22日 11:21,1
