id,nick,comment,refer_nick,refer,time,star
417250673,总有拦路虎,我很庆幸我的父亲还在我身边 我会用我余生来感恩他,,,6分钟前,0
417250673,清玖-_,一起加油,萧瑶亦逍遥,"我父亲是一个农民
没有什么散文诗给我
但他用最无声的爱呵护我的成长
有时他会无理头的因为某些小是发脾气，但是爸爸是爱我的。
我爸爸没有散文诗，但他有一手与时光磨合老茧。
2020年中考，老头！您瞧好吧",6分钟前,0
417250673,只是在对的时间,我的父亲不会写什么散文诗 但是他脸上的皱纹 手上的茧 就是我读过的最好的散文诗,,,14分钟前,2
417250673,夜曲闻折柳,"我的父亲没有散文诗
曾经他的脸上被岁月写满饱经风霜的故事
他有一双温暖的大手
也曾将我高高举过头顶
那伟岸的背影给了我许多安全感
庆幸父亲给我的爱温柔了我的青葱岁月
从前往后都在我心中树立了一个榜样
我的父亲没有散文诗
他的故事都刻在我的脑海里陪着我",,,15分钟前,1
417250673,病态的开心,反正不能说老的快没了吧,大西柚233,旋律很好，但是歌词真的能不能走点心，什么叫老的像一个影子？？？来你出来我给我表演一下,20分钟前,1
417250673,06号向日葵,带着父亲那份活下去吧 希望我们都能坚强一点,爱上自己是一件幸福的事,"我对父亲的记忆停留在了1999年我九岁那年的深秋早上,如果时光倒流，我还想再看看你熟悉的脸庞",20分钟前,0
417250673,哈哈女孩2002,我猜没有,不属木,读过书没,24分钟前,0
417250673,拥抱花太阳yu,他手上的老茧是常年在工地打工形成的，有一次大夏天我突然发现他的腿其实很白，只不过是平常风吹日晒把他的脸和胳膊晒得特别的黑,山川追河,我的父亲没有散文诗，他的手上全是茧,24分钟前,0
417250673,forward-zyl,当然，也包括我。然后我觉得你不会赢。因为没有人愿意父爱受到不好的言论。你好自为之。,forward-zyl,哎，国家给你言论自由的权利，不是让你来这里发表这种不当的言论，就算你觉得不对，你可以思考一下，是不是真的不能这么写。理解理解其中的意思，这首歌是包含了浓浓的父爱的，喜欢听这首歌的人都是有一段自己跟父亲难忘的故事。所以 ，你在这首歌下面评论这种话肯定会有人看不过去，然后就跟你理论,26分钟前,1
417250673,硫酸泡脚,呃，这个是说我们小时候，无聊嘛经常就是会对着自己的影子玩耍，就是小时候我们经常依靠在父亲身边的意思 。等我们长大了，父亲老的想一个影子一样，默默的跟在我们身后，我们却总是忘记他的存在。,大西柚233,旋律很好，但是歌词真的能不能走点心，什么叫老的像一个影子？？？来你出来我给我表演一下,27分钟前,0
